listName,usCite,caseName,finalCategories,tribesInvolved,caseId,docketId,voteId,term,dateDecision,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,precedentAlteration,caseOrigin,caseOriginState,caseSource,caseSourceState,certReason,decisionType,issue,lawSupp,lawType,partyWinning,url,subopinion_urls,docket_url,cited_cases,audio_files,brief_results
Mississippi Band of Choctaw Indians v. Holyfield,490 U.S. 30,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,"Indian Child Welfare Act, Tribal courts, Jurisdiction (other), States/Authority of states, Tribal citizenship, Plenary Power",Mississippi Band of Choctaw Indians,1988-068,1988-068-01,1988-068-01-01-01,1988,4/3/1989,1/11/1989,,170.0,,202.0,,0.0,302.0,29.0,300.0,29.0,5.0,1.0,20160.0,600.0,6.0,1.0,https://www.courtlistener.com/opinion/112241/mississippi-band-of-choctaw-indians-v-holyfield/,"['https://www.courtlistener.com/api/rest/v4/opinions/9431645/', 'https://www.courtlistener.com/api/rest/v4/opinions/9431646/', 'https://www.courtlistener.com/api/rest/v4/opinions/112241/']",https://www.courtlistener.com/api/rest/v4/dockets/2292963/,"['464 U.S. 16', '357 U.S. 235', '314 U.S. 441', '437 U.S. 634', '385 U.S. 554', '460 U.S. 103', '490 U.S. 30', '489 U.S. 468', '358 U.S. 217', '402 U.S. 600', '472 U.S. 1001', '455 U.S. 1007', '290 U.S. 202', '318 U.S. 101', '328 U.S. 204', '441 U.S. 434', '351 U.S. 570', '49 U.S. 113', '369 U.S. 1', '317 U.S. 154', '424 U.S. 382', '257 U.S. 282', '145 U.S. 317', '315 U.S. 649', '312 U.S. 399', '411 U.S. 164', '350 U.S. 270', '322 U.S. 111', '306 U.S. 398']",[],"[{'title': 'Mississippi Band of Choctaw Indians v. Holyfield, 490 U.S. 30 (1989) (No. 87-980)', 'url': 'https://archive.org/details/micro_IA40385012_0609', 'pdfs': ['https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 01. Docket.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 02. Jurisdictional Statement.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 03. Motion.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 04. Reply Brief.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 05. Joint Appendix.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 06. Appellants Brief.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 07. Appellees Brief.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 08. Reply Brief.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 09. Amicus Curiae Brief.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 10. Amicus Curiae Brief.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 11. Amicus Curiae Brief.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609 12. Amicus Curiae Brief.pdf', 'https://archive.org/download/micro_IA40385012_0609/micro_IA40385012_0609.pdf']}]"
Cotton petroleum Corp. v. New Mexico,490 U.S. 163,COTTON PETROLEUM CORP. et al. v. NEW MEXICO et al.,"Taxes, States/Authority of states, Natural Resources, Commerce Clause, U.S. Constitution, Wardship/Trust, Indian Reorganization Act, Canons of Construction, Plenary Power, Indian Agents/Administrative law",Jicarilla Apache Tribe,1988-076,1988-076-01,1988-076-01-01-01,1988,4/25/1989,11/30/1988,,198.0,,28.0,36.0,0.0,302.0,36.0,301.0,36.0,1.0,1.0,20160.0,600.0,6.0,0.0,https://www.courtlistener.com/opinion/112249/cotton-petroleum-corp-v-new-mexico/,"['https://www.courtlistener.com/api/rest/v4/opinions/9431653/', 'https://www.courtlistener.com/api/rest/v4/opinions/9431654/', 'https://www.courtlistener.com/api/rest/v4/opinions/112249/']",https://www.courtlistener.com/api/rest/v4/dockets/2292966/,"['431 U.S. 324', '455 U.S. 130', '30 U.S. 1', '27 U.S. 449', '235 U.S. 292', '380 U.S. 685', '447 U.S. 134', '458 U.S. 832', '412 U.S. 481', '358 U.S. 217', '248 U.S. 549', '302 U.S. 134', '453 U.S. 609', '411 U.S. 145', '471 U.S. 759', '490 U.S. 163', '257 U.S. 501', '462 U.S. 324', '447 U.S. 207', '247 U.S. 503', '480 U.S. 470', '485 U.S. 505', '417 U.S. 535', '342 U.S. 382', '480 U.S. 202', '463 U.S. 713', '285 U.S. 393', '271 U.S. 609', '435 U.S. 734', '240 U.S. 522', '268 U.S. 45', '17 U.S. 316', '301 U.S. 495', '397 U.S. 137', '411 U.S. 164', '303 U.S. 376', '448 U.S. 136', '336 U.S. 342', '425 U.S. 463', '319 U.S. 598', '299 U.S. 159', '283 U.S. 123', '322 U.S. 327']",[],"[{'title': 'Cotton Petroleum Corp. v. New Mexico, 490 U.S. 163 (1989) (No. 87-1327)', 'url': 'https://archive.org/details/micro_IA40385012_0650', 'pdfs': ['https://archive.org/download/micro_IA40385012_0650/micro_IA40385012_0650.pdf']}]"
